aphia_id,Kingdom,Class,Order,Family,Genus,Species,Phylum,highest_classification
902,Animalia,Polychaeta,NA,Orbiniidae,NA,NA,Annelida,family
901,Animalia,Polychaeta,Sabellida,NA,NA,NA,Annelida,order
900,Animalia,Polychaeta,Terebellida,NA,NA,NA,Annelida,order
883,Animalia,Polychaeta,NA,NA,NA,NA,Annelida,class
852,Plantae,NA,NA,NA,NA,NA,NA,kingdom
830,Chromista,Phaeophyceae,NA,NA,NA,NA,Ochrophyta,class
801,Plantae,NA,NA,NA,NA,NA,NA,kingdom
558,Animalia,NA,NA,NA,NA,NA,Porifera,phylum
111,Animalia,Gastropoda,Lepetellida,Fissurellidae,NA,NA,Mollusca,family
105,Animalia,Bivalvia,NA,NA,NA,NA,Mollusca,class
101,Animalia,Gastropoda,NA,NA,NA,NA,Mollusca,class
55,Animalia,Polyplacophora,NA,NA,NA,NA,Mollusca,class
51,Animalia,NA,NA,NA,NA,NA,Mollusca,phylum
