sample_event_id,scientific_name,updated_scientific_name,taxonomic_id,id_type
USA-IRL_seagrass_2021,Hippolyte pleuracanthus,Hippolyte pleuracantha,158360,Aphia ID
USA-IRL_seagrass_2021,Hermit crab,Arthropoda,1065,Aphia ID
USA-IRL_seagrass_2021,Hagaria rapax,Hargeria rapax,247538,Aphia ID
USA-IRL_seagrass_2021,brittle star,Hargeria rapax,247538,Aphia ID
USA-IRL_seagrass_2021,shrimp,Decapoda,1130,Aphia ID
USA-IRL_seagrass_2021,tanaid,Tanaidacea,1133,Aphia ID
USA-IRL_seagrass_2021,Orbinidae,Orbiniidae,902,Aphia ID
USA-IRL_seagrass_2021,Halophila decipiens,Halophila decipiens,145713,Aphia ID
USA-IRL_seagrass_2021,Hypnea spinella,Hypnea spinella,145635,Aphia ID
USA-IRL_seagrass_2021,Hypnea musciformis,Hypnea musciformis,145634,Aphia ID
USA-IRL_seagrass_2021,Hydropuntia usneoides,Crassiphycus usneoides,1327608,Aphia ID
USA-IRL_seagrass_2021,Erichsonella attenuata,Erichsonella attenuata,157887,Aphia ID
USA-IRL_seagrass_2021,Harrieta faxoni,Harrieta faxoni,260565,Aphia ID
USA-IRL_seagrass_2021,Bittiolum varium,Bittiolum varium,160174,Aphia ID
USA-IRL_seagrass_2021,Deutella incerta,Deutella incerta,421581,Aphia ID
USA-IRL_seagrass_2021,Nassarius acutus,Nassarius acutus,160395,Aphia ID
USA-IRL_seagrass_2021,Ceratonereis mirabilis,Ceratonereis mirabilis,130372,Aphia ID
USA-IRL_seagrass_2021,Cerithium litteratum,Cerithium litteratum,216687,Aphia ID
USA-IRL_seagrass_2021,Cerapus cudjoe,Cerapus cudjoe,421589,Aphia ID
USA-IRL_seagrass_2021,Aonides mayaguezensis,Aonides mayaguezensis,157179,Aphia ID
USA-IRL_seagrass_2021,Crepidula convexa,Crepidula convexa,160228,Aphia ID
USA-IRL_seagrass_2021,Haminoea antillarum,Haminoea antillarum,420524,Aphia ID
USA-IRL_seagrass_2021,Acteocina canaliculata,Acteocina canaliculata,160065,Aphia ID
USA-IRL_seagrass_2021,Lembos unifasciatus,Lembos unifasciatus,422677,Aphia ID
USA-IRL_seagrass_2021,Caecum floridanum,Caecum floridanum,419588,Aphia ID
USA-IRL_seagrass_2021,Grandidierella bonnieroides,Grandidierella bonnieroides,211405,Aphia ID
USA-IRL_seagrass_2021,Turbonilla dalli,Turbonilla dalli,420483,Aphia ID
USA-IRL_seagrass_2021,Bulla striata,Bulla striata,138940,Aphia ID
USA-IRL_seagrass_2021,Hippolyte zostericola,Hippolyte zostericola,158361,Aphia ID
USA-IRL_seagrass_2021,Lembos websteri,Lembos websteri,102033,Aphia ID
USA-IRL_seagrass_2021,Eurypanopeus depressus,Eurypanopeus depressus,158416,Aphia ID
USA-IRL_seagrass_2021,Paracerceis caudata,Paracerceis caudata,261817,Aphia ID
USA-IRL_seagrass_2021,Parvanachis obesa,Parvanachis obesa,160440,Aphia ID
USA-IRL_seagrass_2021,Rhithropanopeus harrisii,Rhithropanopeus harrisii,107414,Aphia ID
USA-IRL_seagrass_2021,Pyrgocythara plicosa,Pyrgocythara plicosa,160476,Aphia ID
USA-IRL_seagrass_2021,Dulichiella appendiculata,Dulichiella appendiculata,421504,Aphia ID
USA-IRL_seagrass_2021,Cerithium lutosum,Cerithium lutosum,419522,Aphia ID
USA-IRL_seagrass_2021,Lysianopsis alba,Lysianopsis alba,158036,Aphia ID
USA-IRL_seagrass_2021,Paracaprella tenuis,Paracaprella tenuis,160028,Aphia ID
USA-IRL_seagrass_2021,Prunum apicinum,Prunum apicinum,420149,Aphia ID
USA-IRL_seagrass_2021,Epitonium candeanum,Epitonium candeanum,419806,Aphia ID
