sample_event_id,scientific_name,updated_scientific_name,taxonomic_id,id_type
USA-IRL_seagrass_2021,Ampelisca verrilli,Ampelisca verrilli,158023,Aphia ID
USA-IRL_seagrass_2021,Panopeus occidentalis,Panopeus occidentalis,422086,Aphia ID
USA-IRL_seagrass_2021,Hexapanopeus paulensis,Hexapanopeus paulensis,422081,Aphia ID
USA-IRL_seagrass_2021,Granulina ovuliformis,Granulina ovuliformis,532891,Aphia ID
USA-IRL_seagrass_2021,Marshallora nigrocincta,Marshallora nigrocincta,160363,Aphia ID
USA-IRL_seagrass_2021,Astryis lunata,Astyris lunata,160102,Aphia ID
USA-IRL_seagrass_2021,Cymadusa cf compta,Cymadusa compta,158082,Aphia ID
USA-IRL_seagrass_2021,Erichthonius brasiliensis,Ericthonius brasiliensis,102401,Aphia ID
USA-IRL_seagrass_2021,Photis sp,Photis,101563,Aphia ID
USA-IRL_seagrass_2021,Amphipoda,Amphipoda,1135,Aphia ID
USA-IRL_seagrass_2021,Prionospio sp,Prionospio,129620,Aphia ID
USA-IRL_seagrass_2021,Capitella sp,Capitella,129211,Aphia ID
USA-IRL_seagrass_2021,Nereid,Nereida,394039,Aphia ID
USA-IRL_seagrass_2021,Ampithoe longimanna,Ampithoe longimana,158026,Aphia ID
USA-IRL_seagrass_2021,Cumacea,Cumacea,1137,Aphia ID
USA-IRL_seagrass_2021,megalops,Megalops,125726,Aphia ID
USA-IRL_seagrass_2021,Periclimenes americanus,Cuapetes americanus,514508,Aphia ID
USA-IRL_seagrass_2021,sipuncula,Sipuncula,1268,Aphia ID
USA-IRL_seagrass_2021,pycnogonad,Pycnogonida,1302,Aphia ID
USA-IRL_seagrass_2021,Nassarius vibex,Phrontis vibex,877061,Aphia ID
USA-IRL_seagrass_2021,Gastropod_01,Gastropoda,101,Aphia ID
USA-IRL_seagrass_2021,Nudibrach_01,Nudibranchia,1762,Aphia ID
USA-IRL_seagrass_2021,Paleomonetes pugio,Palaemon pugio,932401,Aphia ID
USA-IRL_seagrass_2021,corophium,Corophium,101489,Aphia ID
USA-IRL_seagrass_2021,amphipod_01,Amphipoda,1135,Aphia ID
USA-IRL_seagrass_2021,Gastropod_02,Gastropoda,101,Aphia ID
USA-IRL_seagrass_2021,amphipod,Amphipoda,1135,Aphia ID
USA-IRL_seagrass_2021,Panopeus herbsii,Panopeus herbstii,158436,Aphia ID
USA-IRL_seagrass_2021,Unciola sp,Unciola,101474,Aphia ID
USA-IRL_seagrass_2021,Mithrax hemphilli,Amphithrax hemphilli,1258715,Aphia ID
USA-IRL_seagrass_2021,Maera quadrimana,Quadrimaera quadrimana,421523,Aphia ID
USA-IRL_seagrass_2021,Melphidippidae,Melphidippidae,101398,Aphia ID
USA-IRL_seagrass_2021,Micropanope sp,Micropanope,246346,Aphia ID
USA-IRL_seagrass_2021,Gracilaria sp.,Gracilaria,144188,Aphia ID
USA-IRL_seagrass_2021,Dictyota sp.,Dictyota,144086,Aphia ID
USA-IRL_seagrass_2021,Halodule wrightii,Halodule wrightii,208925,Aphia ID
USA-IRL_seagrass_2021,Acanthophora spicifera,Acanthophora spicifera,211768,Aphia ID
USA-IRL_seagrass_2021,Caulerpa sertularioides,Caulerpa sertularioides,144474,Aphia ID
USA-IRL_seagrass_2021,Halophila engelmanni,Halophila engelmannii,374722,Aphia ID
USA-IRL_seagrass_2021,Syringodium filiforme,Syringodium filiforme,374715,Aphia ID
USA-IRL_seagrass_2021,Thalassia testudinum,Thalassia testudinum,374720,Aphia ID
