scientific_name,taxonomic_id,id_type
Ceratonereis mirabilis,130372,Aphia ID
Cerithium litteratum,216687,Aphia ID
Cerapus cudjoe,421589,Aphia ID
Aonides mayaguezensis,157179,Aphia ID
Crepidula convexa,160228,Aphia ID
Haminoea antillarum,420524,Aphia ID
Acteocina canaliculata,160065,Aphia ID
Lembos unifasciatus,422677,Aphia ID
Caecum floridanum,419588,Aphia ID
Grandidierella bonnieroides,211405,Aphia ID
Turbonilla dalli,420483,Aphia ID
Bulla striata,138940,Aphia ID
Hippolyte zostericola,158361,Aphia ID
Lembos websteri,102033,Aphia ID
Paracerceis caudata,261817,Aphia ID
Parvanachis obesa,160440,Aphia ID
Rhithropanopeus harrisii,107414,Aphia ID
Pyrgocythara plicosa,160476,Aphia ID
Dulichiella appendiculata,421504,Aphia ID
Cerithium lutosum,419522,Aphia ID
Lysianopsis alba,158036,Aphia ID
Paracaprella tenuis,160028,Aphia ID
Prunum apicinum,420149,Aphia ID
Epitonium candeanum,419806,Aphia ID
Ampelisca verrilli,158023,Aphia ID
Hexapanopeus paulensis,422081,Aphia ID
Granulina ovuliformis,532891,Aphia ID
Marshallora nigrocincta,160363,Aphia ID
Astyris lunata,160102,Aphia ID
Cymadusa compta,158082,Aphia ID
Photis,101563,Aphia ID
Prionospio,129620,Aphia ID
Capitella,129211,Aphia ID
Nereida,394039,Aphia ID
Ampithoe longimana,158026,Aphia ID
Cumacea,1137,Aphia ID
Megalops,125726,Aphia ID
Cuapetes americanus,514508,Aphia ID
Sipuncula,1268,Aphia ID
Pycnogonida,1302,Aphia ID
Phrontis vibex,877061,Aphia ID
Nudibranchia,1762,Aphia ID
Palaemon pugio,932401,Aphia ID
Corophium,101489,Aphia ID
Unciola,101474,Aphia ID
Amphithrax hemphilli,1258715,Aphia ID
Quadrimaera quadrimana,421523,Aphia ID
Melphidippidae,101398,Aphia ID
Gracilaria,144188,Aphia ID
Halodule wrightii,208925,Aphia ID
Acanthophora spicifera,211768,Aphia ID
Caulerpa sertularioides,144474,Aphia ID
Halophila engelmannii,374722,Aphia ID
Halophila ovalis,208930,Aphia ID
Ulothrix speciosa,145930,Aphia ID
Alpheus paracrinitus,210522,Aphia ID
Phascolion,136025,Aphia ID
Nanoplax xanthiformis,422113,Aphia ID
Chelicorophium spinulosum,431340,Aphia ID
Exogone dispar,333453,Aphia ID
Costoanachis avara,160222,Aphia ID
Vitta virginea,865834,Aphia ID
Perinereis monterea,334445,Aphia ID
Libinia dubia,107335,Aphia ID
Japonactaeon punctostriatus,420514,Aphia ID
Mysida,149668,Aphia ID
Turbonilla toyatani,160091,Aphia ID
Photis spasskii,254754,Aphia ID
Cerithium atratum,224572,Aphia ID
Ampithoe ramondi,102000,Aphia ID
Mediomastus californiensis,157483,Aphia ID
Haminoea petitii,532293,Aphia ID
Glycera brevicirris,328104,Aphia ID
Callinectes,106921,Aphia ID
Palaemon,107032,Aphia ID
Aster subulatus,1096320,Aphia ID
Phragmites australis,416209,Aphia ID
Hydrocotyle umbellata,1491603,Aphia ID
Schoenoplectus americanus,577501,Aphia ID
Spartina alterniflora,234072,Aphia ID
Typha angustifolia,1415753,Aphia ID
Morella cerifera,1492216,Aphia ID
Lonicera japonica,1491747,Aphia ID
Symphyotrichum tenuifolium,418793,Aphia ID
Baccharis halimifolia,578001,Aphia ID
Pluchea odorata,418788,Aphia ID
Spartina cynosuroides,418820,Aphia ID
Hibiscus moscheutos,418727,Aphia ID
Sagittaria latifolia,1435889,Aphia ID
Amaranthus cannabinus,418655,Aphia ID
