version,level,protocol,table,column_name,data_type
1,1,diver-visual-survey,sample-metadata,site_code,
1,1,diver-visual-survey,sample-metadata,location_name,
1,1,diver-visual-survey,sample-metadata,transect,
1,1,diver-visual-survey,sample-metadata,sample_collection_year,
1,1,diver-visual-survey,sample-metadata,sample_collection_month,
1,1,diver-visual-survey,sample-metadata,sample_collection_day,
1,1,diver-visual-survey,sample-metadata,sample_collection_time,
1,1,diver-visual-survey,sample-metadata,diver,
1,1,diver-visual-survey,sample-metadata,buddy,
1,1,diver-visual-survey,sample-metadata,data_entry_person,
1,1,diver-visual-survey,sample-metadata,direction,
1,1,diver-visual-survey,sample-metadata,sample_metadata_notes,
1,2,diver-visual-survey,sample-metadata,sample_event_id,STRING
1,2,diver-visual-survey,sample-metadata,observatory_code,STRING
1,2,diver-visual-survey,sample-metadata,location_name,STRING
1,2,diver-visual-survey,sample-metadata,transect,TINYINT
1,2,diver-visual-survey,sample-metadata,sample_collection_date,DATE
1,2,diver-visual-survey,sample-metadata,sample_collection_time,STRING
1,2,diver-visual-survey,sample-metadata,direction,STRING
1,2,diver-visual-survey,sample-metadata,RLS_trained,STRING
1,2,diver-visual-survey,sample-metadata,sample_metadata_notes,STRING
1,1,diver-visual-survey,fish-survey-data,site_code,
1,1,diver-visual-survey,fish-survey-data,location_name,
1,1,diver-visual-survey,fish-survey-data,transect,
1,1,diver-visual-survey,fish-survey-data,sample_collection_year,
1,1,diver-visual-survey,fish-survey-data,sample_collection_month,
1,1,diver-visual-survey,fish-survey-data,sample_collection_day,
1,1,diver-visual-survey,fish-survey-data,block,
1,1,diver-visual-survey,fish-survey-data,method,
1,1,diver-visual-survey,fish-survey-data,taxon_id,
1,1,diver-visual-survey,fish-survey-data,invert_count,
1,1,diver-visual-survey,fish-survey-data,2.5,
1,1,diver-visual-survey,fish-survey-data,5,
1,1,diver-visual-survey,fish-survey-data,7.5,
1,1,diver-visual-survey,fish-survey-data,10,
1,1,diver-visual-survey,fish-survey-data,12.5,
1,1,diver-visual-survey,fish-survey-data,15,
1,1,diver-visual-survey,fish-survey-data,20,
1,1,diver-visual-survey,fish-survey-data,25,
1,1,diver-visual-survey,fish-survey-data,30,
1,1,diver-visual-survey,fish-survey-data,35,
1,1,diver-visual-survey,fish-survey-data,40,
1,1,diver-visual-survey,fish-survey-data,50,
1,1,diver-visual-survey,fish-survey-data,62.5,
1,1,diver-visual-survey,fish-survey-data,75,
1,1,diver-visual-survey,fish-survey-data,87.5,
1,1,diver-visual-survey,fish-survey-data,100,
1,1,diver-visual-survey,fish-survey-data,112.5,
1,1,diver-visual-survey,fish-survey-data,125,
1,1,diver-visual-survey,fish-survey-data,137.5,
1,1,diver-visual-survey,fish-survey-data,150,
1,1,diver-visual-survey,fish-survey-data,162.5,
1,1,diver-visual-survey,fish-survey-data,175,
1,1,diver-visual-survey,fish-survey-data,187.5,
1,1,diver-visual-survey,fish-survey-data,200,
1,1,diver-visual-survey,fish-survey-data,250,
1,1,diver-visual-survey,fish-survey-data,300,
1,1,diver-visual-survey,fish-survey-data,350,
1,1,diver-visual-survey,fish-survey-data,400,
1,1,diver-visual-survey,fish-survey-data,fish_survey_notes,
1,2,diver-visual-survey,fish-survey-data,sample_event_id,STRING
1,2,diver-visual-survey,fish-survey-data,observatory_code,STRING
1,2,diver-visual-survey,fish-survey-data,location_name,STRING
1,2,diver-visual-survey,fish-survey-data,transect,TINYINT
1,2,diver-visual-survey,fish-survey-data,sample_collection_date,DATE
1,2,diver-visual-survey,fish-survey-data,block,TINYINT
1,2,diver-visual-survey,fish-survey-data,method,TINYINT
1,2,diver-visual-survey,fish-survey-data,scientific_name,STRING
1,2,diver-visual-survey,fish-survey-data,taxonomic_id,STRING
1,2,diver-visual-survey,fish-survey-data,fish_id,STRING
1,2,diver-visual-survey,fish-survey-data,size_class,STRING
1,2,diver-visual-survey,fish-survey-data,abundance,INT
1,2,diver-visual-survey,fish-survey-data,fish_survey_notes,STRING
1,1,diver-visual-survey,taxa-list,taxon_id,
1,1,diver-visual-survey,taxa-list,scientific_name,
1,1,diver-visual-survey,taxa-list,identification_notes,
