observatory_code,location_name,habitat
USA-TMA,Egery Flats Marsh,salt_marsh
USA-TMA,Goose Island Oyster,oyster_reef
USA-TMA,Harbor Island Mangrove,mangrove
USA-TMA,Swan Lake Seagrass,seagrass
USA-TMA,St Charles Bay Oyster,oyster_reef
