observatory_code,location_name,habitat
PAN-BDT,STRI Seagrass,seagrass
PAN-BDT,Almirante Seagrass,seagrass
PAN-BDT,Juan Point Seagrass,seagrass
PAN-BDT,STRI Tower,
PAN-BDT,Almirante Coral,coral_reef
PAN-BDT,Crawl Cay Coral,coral_reef
PAN-BDT,Juan Point Coral,coral_reef
PAN-BDT,STRI Coral,coral_reef
