observatory_code,location_name,habitat
USA-VAS,UVACRC Dock,artificial
USA-SBC,Santa Barbara Dock,artificial
USA-MWH,Woods Hole Dock,artificial
USA-CBB,Bodega Harbor Dock,artificial
USA-HIK,HIMB Dock,artificial
