observatory_code,location_name,habitat
CAN-BCC,Koeye Rocky Reef,rocky reef
CAN-BCC,Koeye Seagrass,seagrass
CAN-BCC,Pruth Bay Seagrass,seagrass
CAN-BCC,Choked Pass Seagrass,seagrass
CAN-BCC,Triquet Kelp,kelp
CAN-BCC,Ratatouille Kelp,kelp
CAN-BCC,Triquetta Kelp,kelp
