observatory_code,location_name,habitat
USA-SFB,Marin Seagrass,seagrass
USA-SFB,Point Molate Seagrass,seagrass
USA-SFB,Richardson Bay Seagrass,seagrass
USA-SFB,Richardson Bay Restored Seagrass,seagrass
